pizza_id,order_id,customer_id,pizza_name_id,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_name,ingredient_names,ingredient_ids
1,1,12f2bc38-d600-4a06-839c-7c5411d00517,ital_supr_l,2,01/01/2025,18:04:26,20.75,41.5,L,Supreme,The Italian Supreme Pizza,Calabrese Salami|Capocollo|Tomatoes|Red Onions|Green Olives|Garlic,14|15|64|53|32|27
2,1,12f2bc38-d600-4a06-839c-7c5411d00517,spicy_ital_s,3,01/01/2025,18:04:26,12.5,37.5,S,Supreme,The Spicy Italian Pizza,Capocollo|Tomatoes|Goat Cheese|Artichokes|Peperoncini verdi|Garlic,15|64|29|5|45|27
3,1,12f2bc38-d600-4a06-839c-7c5411d00517,spin_pesto_l,2,01/01/2025,18:04:26,20.75,41.5,L,Veggie,The Spinach Pesto Pizza,Spinach|Artichokes|Tomatoes|Sun-dried Tomatoes|Garlic|Pesto Sauce,60|5|64|61|27|47
4,1,12f2bc38-d600-4a06-839c-7c5411d00517,ckn_pesto_l,3,01/01/2025,18:04:26,20.75,62.25,L,Chicken,The Chicken Pesto Pizza,Chicken|Tomatoes|Red Peppers|Spinach|Garlic|Pesto Sauce,17|64|54|60|27|47
5,2,0c621caa-4854-43bb-ab8f-74e1f79ba3e4,cali_ckn_s,3,01/01/2025,14:04:01,12.75,38.25,S,Chicken,The California Chicken Pizza,Chicken|Artichoke|Spinach|Garlic|Jalapeno Peppers|Fontina Cheese|Gouda Cheese,17|4|60|27|35|25|31
6,2,0c621caa-4854-43bb-ab8f-74e1f79ba3e4,prsc_argla_l,2,01/01/2025,14:04:01,20.75,41.5,L,Supreme,The Prosciutto and Arugula Pizza,Prosciutto di San Daniele|Arugula|Mozzarella Cheese,51|6|38
7,2,0c621caa-4854-43bb-ab8f-74e1f79ba3e4,the_greek_m,2,01/01/2025,14:04:01,16.0,32.0,M,Classic,The Greek Pizza,Kalamata Olives|Feta Cheese|Tomatoes|Garlic|Beef Chuck Roast|Red Onions,36|24|64|27|11|53
8,2,0c621caa-4854-43bb-ab8f-74e1f79ba3e4,spin_pesto_m,2,01/01/2025,14:04:01,16.5,33.0,M,Veggie,The Spinach Pesto Pizza,Spinach|Artichokes|Tomatoes|Sun-dried Tomatoes|Garlic|Pesto Sauce,60|5|64|61|27|47
9,2,0c621caa-4854-43bb-ab8f-74e1f79ba3e4,four_cheese_l,1,01/01/2025,14:04:01,17.95,17.95,L,Veggie,The Four Cheese Pizza,Ricotta Cheese|Gorgonzola Piccante Cheese|Mozzarella Cheese|Parmigiano Reggiano Cheese|Garlic,55|30|38|43|27
10,3,0e105436-465e-4326-94d3-f6a0e7051725,the_greek_m,2,01/01/2025,15:51:47,16.0,32.0,M,Classic,The Greek Pizza,Kalamata Olives|Feta Cheese|Tomatoes|Garlic|Beef Chuck Roast|Red Onions,36|24|64|27|11|53
11,4,a3ae82e8-8f79-4ab4-a13c-5dc1591c8928,spinach_supr_m,2,01/01/2025,18:09:58,16.5,33.0,M,Supreme,The Spinach Supreme Pizza,Spinach|Red Onions|Pepperoni|Tomatoes|Artichokes|Kalamata Olives|Garlic|Asiago Cheese,60|53|46|64|5|36|27|7
12,5,c0a8be37-975c-4b34-8989-1eb846c63871,four_cheese_l,1,01/01/2025,08:41:41,17.95,17.95,L,Veggie,The Four Cheese Pizza,Ricotta Cheese|Gorgonzola Piccante Cheese|Mozzarella Cheese|Parmigiano Reggiano Cheese|Garlic,55|30|38|43|27
13,6,5fccc95a-c30f-4525-a4a6-43861baae99a,ital_cpcllo_m,2,01/01/2025,11:26:50,16.0,32.0,M,Classic,The Italian Capocollo Pizza,Capocollo|Red Peppers|Tomatoes|Goat Cheese|Garlic|Oregano,15|54|64|29|27|41
14,6,5fccc95a-c30f-4525-a4a6-43861baae99a,classic_dlx_l,1,01/01/2025,11:26:50,20.5,20.5,L,Classic,The Classic Deluxe Pizza,Pepperoni|Mushrooms|Red Onions|Red Peppers|Bacon,46|39|53|54|8
15,6,5fccc95a-c30f-4525-a4a6-43861baae99a,prsc_argla_l,1,01/01/2025,11:26:50,20.75,20.75,L,Supreme,The Prosciutto and Arugula Pizza,Prosciutto di San Daniele|Arugula|Mozzarella Cheese,51|6|38
16,7,c6fb82d9-b6e6-445a-a3d3-0158405a9d16,mediterraneo_l,2,01/01/2025,09:31:56,20.25,40.5,L,Veggie,The Mediterranean Pizza,Spinach|Artichokes|Kalamata Olives|Sun-dried Tomatoes|Feta Cheese|Plum Tomatoes|Red Onions,60|5|36|61|24|49|53
17,7,c6fb82d9-b6e6-445a-a3d3-0158405a9d16,the_greek_m,1,01/01/2025,09:31:56,16.0,16.0,M,Classic,The Greek Pizza,Kalamata Olives|Feta Cheese|Tomatoes|Garlic|Beef Chuck Roast|Red Onions,36|24|64|27|11|53
18,7,c6fb82d9-b6e6-445a-a3d3-0158405a9d16,pep_msh_pep_s,3,01/01/2025,09:31:56,11.0,33.0,S,Classic,"The Pepperoni, Mushroom, and Peppers Pizza",Pepperoni|Mushrooms|Green Peppers,46|39|33
19,8,ead66f31-3437-42c5-9145-8281898ce326,ital_cpcllo_m,2,01/01/2025,08:27:14,16.0,32.0,M,Classic,The Italian Capocollo Pizza,Capocollo|Red Peppers|Tomatoes|Goat Cheese|Garlic|Oregano,15|54|64|29|27|41
20,8,ead66f31-3437-42c5-9145-8281898ce326,bbq_ckn_s,1,01/01/2025,08:27:14,12.75,12.75,S,Chicken,The Barbecue Chicken Pizza,Barbecued Chicken|Red Peppers|Green Peppers|Tomatoes|Red Onions|Barbecue Sauce,10|54|33|64|53|9
21,8,ead66f31-3437-42c5-9145-8281898ce326,spin_pesto_m,2,01/01/2025,08:27:14,16.5,33.0,M,Veggie,The Spinach Pesto Pizza,Spinach|Artichokes|Tomatoes|Sun-dried Tomatoes|Garlic|Pesto Sauce,60|5|64|61|27|47
22,8,ead66f31-3437-42c5-9145-8281898ce326,ital_veggie_m,2,01/01/2025,08:27:14,16.75,33.5,M,Veggie,The Italian Vegetables Pizza,Eggplant|Artichokes|Tomatoes|Zucchini|Red Peppers|Garlic|Pesto Sauce,23|5|64|65|54|27|47
23,8,ead66f31-3437-42c5-9145-8281898ce326,mediterraneo_m,2,01/01/2025,08:27:14,16.0,32.0,M,Veggie,The Mediterranean Pizza,Spinach|Artichokes|Kalamata Olives|Sun-dried Tomatoes|Feta Cheese|Plum Tomatoes|Red Onions,60|5|36|61|24|49|53
24,9,dec2b1be-3447-4044-b4e3-17848dfd390e,spinach_supr_m,1,01/01/2025,06:46:49,16.5,16.5,M,Supreme,The Spinach Supreme Pizza,Spinach|Red Onions|Pepperoni|Tomatoes|Artichokes|Kalamata Olives|Garlic|Asiago Cheese,60|53|46|64|5|36|27|7
25,9,dec2b1be-3447-4044-b4e3-17848dfd390e,green_garden_s,3,01/01/2025,06:46:49,12.0,36.0,S,Veggie,The Green Garden Pizza,Spinach|Mushrooms|Tomatoes|Green Olives|Feta Cheese,60|39|64|32|24
